"","AMZN","COST","Date"
"365",10.61,81.37,"2011-07-06"
"366",10.44,81.69,"2011-07-05"
"367",10.28,81.5,"2011-07-01"
"368",10.04,80.27,"2011-06-30"
"369",10.13,80.2,"2011-06-29"
"370",10.1,79.99,"2011-06-28"
"371",9.73,78.95,"2011-06-27"
"372",9.69,81.13,"2011-06-24"
"373",9.48,79.75,"2011-06-23"
"374",9.7,81.1,"2011-06-22"
"375",9.41,81.39,"2011-06-21"
"376",9.3,79.71,"2011-06-20"
"377",9.33,79.98,"2011-06-17"
"378",9.29,77.88,"2011-06-16"
"379",9.4,78.55,"2011-06-15"
"380",9.45,79.14,"2011-06-14"
"381",9.34,78.18,"2011-06-13"
"382",9.46,79.1,"2011-06-10"
"383",9.49,79,"2011-06-09"
"384",9.37,78.37,"2011-06-08"
"385",9.29,78.08,"2011-06-07"
"386",9.4,77.55,"2011-06-06"
"387",9.56,78.6,"2011-06-03"
"388",9.61,80.83,"2011-06-02"
"389",9.8,82.34,"2011-06-01"
"390",9.8,81.94,"2011-05-31"
"391",9.74,80.93,"2011-05-27"
"392",9.56,80.06,"2011-05-26"
"393",9.68,80.33,"2011-05-25"
"394",9.85,82.97,"2011-05-24"
"395",9.78,82.62,"2011-05-23"
"396",9.9,83.77,"2011-05-20"
"397",9.92,83.34,"2011-05-19"
"398",9.71,82.63,"2011-05-18"
"399",9.59,82.17,"2011-05-17"
"400",10.03,82.55,"2011-05-16"
"401",10.28,83.27,"2011-05-13"
"402",10.21,81.73,"2011-05-12"
"403",10.16,82.03,"2011-05-11"
"404",10.1,81.68,"2011-05-10"
"405",9.92,80.47,"2011-05-09"
"406",9.95,80.44,"2011-05-06"
"407",9.93,80.05,"2011-05-05"
"408",9.91,80.27,"2011-05-04"
"409",10.05,80.92,"2011-05-03"
"410",9.83,81.21,"2011-05-02"
"411",9.72,81.18,"2011-04-29"
"412",9.8,80.93,"2011-04-28"
"413",9.16,80.31,"2011-04-27"
"414",9.31,78.94,"2011-04-26"
"415",9.28,78.64,"2011-04-25"
"416",9.23,78.65,"2011-04-21"
"417",9.08,77.51,"2011-04-20"
"418",8.92,77.08,"2011-04-19"
"419",8.92,76,"2011-04-18"
"420",9.05,76.34,"2011-04-15"
"421",9.07,75.96,"2011-04-14"
"422",9.04,76.74,"2011-04-13"
"423",9.15,75.75,"2011-04-12"
"424",9.24,76.16,"2011-04-11"
"425",9.26,77.17,"2011-04-08"
"426",9.14,76.37,"2011-04-07"
"427",9.31,75.31,"2011-04-06"
"428",9.1,74.35,"2011-04-05"
"429",9.04,74.62,"2011-04-04"
"430",9.08,73.16,"2011-04-01"
"431",8.97,72.56,"2011-03-31"
"432",8.89,72.27,"2011-03-30"
"433",8.54,71.24,"2011-03-29"
"434",8.59,71.49,"2011-03-28"
"435",8.58,72.24,"2011-03-25"
"436",8.41,71.19,"2011-03-24"
"437",8.11,71.49,"2011-03-23"
"438",8.2,71.06,"2011-03-22"
"439",8.17,71.11,"2011-03-21"
"440",8.06,71.03,"2011-03-18"
"441",8.3,70.46,"2011-03-17"
"442",8.23,71.14,"2011-03-16"
"443",8.07,70.76,"2011-03-15"
"444",8.33,72.25,"2011-03-14"
"445",8.27,73.09,"2011-03-11"
"446",8.35,73.51,"2011-03-10"
"447",8.33,73.48,"2011-03-09"
"448",8.47,72.09,"2011-03-08"
"449",8.6,72.99,"2011-03-07"
"450",8.63,72.5,"2011-03-04"
"451",8.69,72.25,"2011-03-03"
"452",8.45,73.5,"2011-03-02"
"453",8.68,75.11,"2011-03-01"
"454",8.7,73.93,"2011-02-28"
"455",8.95,73.25,"2011-02-25"
"456",8.84,72.79,"2011-02-24"
"457",9.01,73.8,"2011-02-23"
"458",9.18,75.11,"2011-02-22"
"459",9.38,74.82,"2011-02-18"
"460",9.29,74.28,"2011-02-17"
"461",9.49,74.51,"2011-02-16"
"462",9.44,74.35,"2011-02-15"
"463",9.46,75.05,"2011-02-14"
"464",9.28,74.06,"2011-02-11"
"465",9.22,74.44,"2011-02-10"
"466",9.16,74.36,"2011-02-09"
"467",8.83,74.23,"2011-02-08"
"468",8.81,73.96,"2011-02-07"
"469",8.7,74.12,"2011-02-04"
"470",8.68,71.77,"2011-02-03"
"471",8.57,72.15,"2011-02-02"
"472",8.53,72.22,"2011-02-01"
"473",8.51,72.24,"2011-01-31"
"474",8.57,73.33,"2011-01-28"
"475",8.87,72.84,"2011-01-27"
"476",8.88,72.47,"2011-01-26"
"477",8.77,72.51,"2011-01-25"
"478",8.9,72.86,"2011-01-24"
"479",9.15,72.48,"2011-01-21"
"480",9.26,71.79,"2011-01-20"
"481",9.55,72.38,"2011-01-19"
"482",9.43,72.54,"2011-01-18"
"483",9.27,71.35,"2011-01-14"
"484",9.18,71.32,"2011-01-13"
"485",9.27,71.2,"2011-01-12"
