Date,Open,High,Low,Close,Adj Close,Volume
"Mar 22, 2012",90.25,91.09,90.05,90.5,66.47,"1,499,300"
"Mar 21, 2012",90.36,90.95,90.21,90.64,66.58,"1,693,900"
"Mar 20, 2012",89.9,90.49,89.58,90.26,66.3,"1,500,400"
"Mar 19, 2012",90.75,90.76,89.58,90.02,66.12,"1,608,300"
"Mar 16, 2012",91.26,91.5,90.26,90.44,66.43,"3,556,600"
"Mar 15, 2012",90.82,91.6,90.27,91.46,67.18,"1,834,300"
"Mar 14, 2012",89.47,90.96,89.46,90.9,66.77,"2,066,800"
"Mar 13, 2012",89.78,90,89.29,89.98,66.09,"1,735,400"
"Mar 12, 2012",89.28,89.72,89.06,89.43,65.69,"1,354,700"
"Mar 9, 2012",88.47,89.52,88.38,89.34,65.62,"1,724,100"
"Mar 8, 2012",88.01,88.5,87.84,88.3,64.86,"1,614,200"
"Mar 7, 2012",87.9,87.93,87.2,87.89,64.56,"2,173,900"
"Mar 6, 2012",87.11,87.95,86.95,87.58,64.33,"3,181,300"
"Mar 5, 2012",86,87.67,85.83,87.63,64.37,"3,040,500"
"Mar 2, 2012",85.71,86.3,85.71,86.23,63.34,"1,956,300"
"Mar 1, 2012",86.54,86.79,85.69,86.16,63.29,"3,051,100"
"Feb 29, 2012",86.19,87.2,85.73,86.06,63.21,"5,345,100"
"Feb 28, 2012",85.03,85.86,84.58,85.27,62.63,"3,529,700"
"Feb 27, 2012",84.17,85.25,84.01,85.09,62.5,"2,344,500"
"Feb 24, 2012",84.99,84.99,84.05,84.4,61.99,"1,262,000"
"Feb 23, 2012",84.31,84.96,83.8,84.77,62.27,"1,996,900"
"Feb 22, 2012",84.35,84.74,83.72,84.31,61.93,"1,955,300"
"Feb 21, 2012",84.6,84.69,83.65,84.26,61.89,"2,345,800"
"Feb 17, 2012",83.94,84.51,83.8,84.47,62.05,"1,966,300"
"Feb 16, 2012",83.51,84.05,83.51,84.05,61.74,"1,771,900"
"Feb 15, 2012",84.48,84.52,83.04,83.24,61.14,"1,570,300"
"Feb 14, 2012",83.47,84.1,83.3,84.1,61.77,"1,186,000"
"Feb 13, 2012",84.55,84.61,83.24,83.87,61.61,"1,556,200"
"Feb 10, 2012",84.12,84.31,83.68,84.2,61.85,"1,689,300"
"Feb 9, 2012",84.27,84.6,84.07,84.53,62.09,"1,317,300"
"Feb 8, 2012",84.45,84.59,83.85,84.28,61.91,"1,662,600"
"Feb 7, 2012",84.66,85,84.38,84.56,61.94,"1,574,900"
"Feb 6, 2012",84.67,85.2,84.65,85.04,62.29,"1,379,000"
"Feb 3, 2012",86.11,86.18,84.97,85.36,62.52,"2,347,900"
"Feb 2, 2012",83.76,85.89,83.76,85.51,62.63,"4,697,900"
"Feb 1, 2012",82.92,83.94,82.78,83.22,60.95,"3,036,300"
"Jan 31, 2012",81.77,82.3,81.12,82.27,60.26,"1,844,900"
"Jan 30, 2012",81.2,81.67,81,81.44,59.65,"1,973,300"
"Jan 27, 2012",82.13,82.44,81.38,81.62,59.78,"2,312,100"
"Jan 26, 2012",82.83,83.08,81.8,82.06,60.1,"1,952,500"
"Jan 25, 2012",81.39,82.8,81.23,82.72,60.59,"2,558,300"
"Jan 24, 2012",81.26,81.88,81.15,81.73,59.86,"1,642,900"
"Jan 23, 2012",81.3,82,81.22,81.64,59.8,"1,916,800"
"Jan 20, 2012",81.3,81.68,80.89,81.41,59.63,"2,304,400"
"Jan 19, 2012",81.7,81.75,81.11,81.21,59.48,"1,994,100"
"Jan 18, 2012",81.29,81.76,80.59,81.76,59.88,"2,418,100"
"Jan 17, 2012",81.24,81.75,80.61,81.42,59.64,"2,747,800"
"Jan 13, 2012",79.87,80.79,79.29,80.61,59.04,"2,658,200"
"Jan 12, 2012",80.19,80.47,79.77,79.95,58.56,"2,502,900"
"Jan 11, 2012",79.32,80.16,78.98,79.99,58.59,"2,415,500"
"Jan 10, 2012",79.37,79.72,79.13,79.15,57.97,"3,647,500"
"Jan 9, 2012",80.34,81,78.81,79.01,57.87,"4,798,300"
"Jan 6, 2012",83.17,83.17,81.12,81.13,59.42,"3,397,400"
"Jan 5, 2012",83.57,83.64,82.1,83.26,60.98,"3,590,500"
"Jan 4, 2012",84.67,84.95,84.01,84.07,61.58,"2,260,200"
"Jan 3, 2012",84.28,85.08,84.16,84.6,61.96,"2,339,500"
"Dec 30, 2011",84.12,84.34,83.28,83.32,61.03,"1,235,500"
"Dec 29, 2011",84.2,84.4,83.6,84.34,61.77,"1,021,300"
"Dec 28, 2011",84.58,84.66,84.03,84.18,61.66,"1,142,900"
"Dec 27, 2011",84.5,84.75,83.86,84.58,61.95,"986,700"
"Dec 23, 2011",83.69,84.7,83.53,84.66,62.01,"1,043,100"
"Dec 22, 2011",83.95,84,83.19,83.77,61.36,"1,677,900"
"Dec 21, 2011",83.59,84.41,82.96,83.79,61.37,"2,642,200"
"Dec 20, 2011",83.15,83.91,82.91,83.64,61.26,"2,909,500"
"Dec 19, 2011",82.8,83.38,81.85,82.06,60.1,"2,236,700"
"Dec 16, 2011",83.07,83.63,82.32,82.57,60.48,"3,874,600"
"Dec 15, 2011",83.1,83.33,82.5,82.57,60.48,"1,912,000"
"Dec 14, 2011",83.57,83.92,82.75,82.75,60.61,"1,891,000"
"Dec 13, 2011",84.6,84.71,83.38,83.63,61.25,"2,491,200"
"Dec 12, 2011",84.1,84.6,83.52,84.15,61.64,"2,535,900"
"Dec 9, 2011",84.68,85.3,84.13,84.37,61.8,"3,893,100"
"Dec 8, 2011",84.87,86.95,84,85.76,62.81,"4,377,800"
"Dec 7, 2011",87.69,87.98,86.19,87.47,64.07,"2,715,800"
"Dec 6, 2011",87.56,88.4,86.93,88.06,64.5,"2,350,500"
"Dec 5, 2011",87.79,88.19,86.65,87.2,63.87,"1,818,900"
"Dec 2, 2011",87.65,88.68,86.62,86.73,63.52,"2,616,600"
"Dec 1, 2011",85,87.68,84.96,87.09,63.79,"3,572,400"
"Nov 30, 2011",84.93,85.82,84.5,85.3,62.48,"3,558,500"
"Nov 29, 2011",82.64,83.66,82.01,83.51,61.17,"1,917,300"
"Nov 28, 2011",82.76,82.82,81.74,82.23,60.23,"2,005,400"
"Nov 25, 2011",80.35,81.63,80.3,80.82,59.2,"826,800"
"Nov 23, 2011",81.29,81.63,80.41,80.76,59.15,"2,183,600"
"Nov 22, 2011",81.22,82.11,81.05,81.81,59.92,"1,635,300"
"Nov 21, 2011",81.22,81.81,80.79,81.29,59.54,"1,872,400"
"Nov 18, 2011",82.06,82.24,81.44,81.72,59.86,"2,355,900"
"Nov 17, 2011",82.64,83.17,81.19,81.98,60.05,"2,312,000"
"Nov 16, 2011",83.94,84.36,82.86,82.94,60.75,"2,459,300"
"Nov 15, 2011",83.41,84.73,83.15,84.48,61.88,"1,724,100"
"Nov 14, 2011",82.74,83.99,82.72,83.45,61.12,"1,539,500"
"Nov 11, 2011",83.35,83.71,82.68,83.04,60.82,"2,500,700"
"Nov 10, 2011",84.02,84.12,82.45,82.72,60.59,"2,502,500"
"Nov 9, 2011",83.57,84.04,82.77,83.41,61.09,"2,850,300"
"Nov 8, 2011",84.14,85.03,83.34,85,62.26,"2,499,400"
"Nov 7, 2011",83.69,84.29,83.21,84.16,61.47,"2,055,200"
"Nov 4, 2011",84.52,84.68,83.5,83.81,61.21,"2,097,100"
"Nov 3, 2011",83.89,84.76,82.88,84.7,61.86,"2,623,300"
"Nov 2, 2011",84.04,84.77,83.56,84.43,61.66,"2,620,900"
"Nov 1, 2011",82.37,84.24,81.99,83.35,60.88,"2,790,400"
"Oct 31, 2011",84.55,85.3,83.25,83.25,60.8,"3,073,100"
"Oct 28, 2011",84.65,85.18,84.26,84.93,62.03,"1,904,900"
"Oct 27, 2011",85,86.14,84.06,85.22,62.24,"3,728,300"
"Oct 26, 2011",83.41,84.13,82.11,83.73,61.15,"2,421,100"
"Oct 25, 2011",83.45,84.5,83.05,83.23,60.79,"2,193,000"
"Oct 24, 2011",84.83,85.18,84.16,84.48,61.7,"3,025,600"
"Oct 21, 2011",84.77,85.3,84.32,85.3,62.3,"2,957,200"
"Oct 20, 2011",84.38,85.35,83.78,84.26,61.54,"2,419,600"
"Oct 19, 2011",84.39,84.99,84.17,84.38,61.63,"2,704,000"
"Oct 18, 2011",82.35,85,82.19,84.57,61.77,"3,544,500"
"Oct 17, 2011",81.57,82.53,81.54,82.36,60.15,"2,278,000"
"Oct 14, 2011",82.07,82.81,81.19,81.77,59.72,"2,227,700"
"Oct 13, 2011",81.44,81.95,81.28,81.67,59.65,"1,839,100"
"Oct 12, 2011",81.51,82.5,81.21,81.42,59.47,"2,454,000"
"Oct 11, 2011",80.98,81.06,80.25,80.9,59.09,"1,983,800"
"Oct 10, 2011",80,81.32,79.85,81.23,59.33,"2,324,400"
"Oct 7, 2011",79.31,79.69,78.72,79.02,57.71,"3,353,600"
"Oct 6, 2011",79.81,80,78.41,79.2,57.84,"4,214,800"
"Oct 5, 2011",80.99,81.78,78.62,80.25,58.61,"5,043,100"
"Oct 4, 2011",80.67,81.78,78.61,81.65,59.63,"4,717,800"
"Oct 3, 2011",81.72,83.22,81.18,81.63,59.62,"3,235,000"
"Sep 30, 2011",82.38,83.68,82.02,82.13,59.98,"2,764,100"
"Sep 29, 2011",84.98,85.27,81.99,82.98,60.6,"2,434,200"
"Sep 28, 2011",84.59,85.3,83.77,83.79,61.2,"2,141,000"
"Sep 27, 2011",85.61,85.94,83.95,84.33,61.59,"2,494,200"
"Sep 26, 2011",83.8,84.75,83.36,84.45,61.68,"3,125,000"
"Sep 23, 2011",82.7,83.9,82.47,83.37,60.89,"2,827,400"
"Sep 22, 2011",82.73,83.78,81.73,83.18,60.75,"4,549,800"
"Sep 21, 2011",85.07,86.18,84.39,84.43,61.66,"2,639,000"
"Sep 20, 2011",85.15,86.34,84.7,85.07,62.13,"3,318,300"
"Sep 19, 2011",83.54,85.34,83.42,85.03,62.1,"2,567,700"
"Sep 16, 2011",83.26,84.96,82.96,84.24,61.53,"4,399,100"
"Sep 15, 2011",82.89,83.29,82.1,83.01,60.63,"2,440,300"
"Sep 14, 2011",80.94,82.52,79.93,81.9,59.82,"2,738,300"
"Sep 13, 2011",80.07,80.79,79.3,80.71,58.95,"2,353,600"
"Sep 12, 2011",78.03,79.88,78.02,79.72,58.22,"2,215,800"
"Sep 9, 2011",79.95,80.08,78.5,78.9,57.63,"2,494,400"
"Sep 8, 2011",80.29,81.47,80.17,80.76,58.98,"2,340,900"
"Sep 7, 2011",79.27,80.61,78.88,80.61,58.87,"2,038,400"
"Sep 6, 2011",77.03,78.53,76.59,78.4,57.26,"2,242,600"
"Sep 2, 2011",78.23,79.68,78.08,78.56,57.38,"2,459,300"
"Sep 1, 2011",78.98,80.91,78.78,79.48,58.05,"3,998,300"
"Aug 31, 2011",78.24,79.04,78.02,78.54,57.36,"2,693,400"
"Aug 30, 2011",77.6,78.54,77.22,78.07,57.02,"2,241,100"
"Aug 29, 2011",77.86,78.11,77.38,77.79,56.81,"2,613,600"
"Aug 26, 2011",75.78,77.67,75.05,77.21,56.39,"2,177,700"
"Aug 25, 2011",77.77,78.52,75.77,75.86,55.4,"2,077,600"
"Aug 24, 2011",76.22,77.53,75.75,77.49,56.6,"2,488,100"
"Aug 23, 2011",74.59,76.83,74.16,76.22,55.67,"3,399,300"
"Aug 22, 2011",75.97,75.99,73.73,74.42,54.35,"2,455,700"
"Aug 19, 2011",73.4,75.49,73.4,74.36,54.31,"3,734,400"
"Aug 18, 2011",74.52,75.38,72.46,74.36,54.31,"4,974,400"
"Aug 17, 2011",75.62,77.4,75.33,76.12,55.59,"3,584,500"
"Aug 16, 2011",73.93,75.61,73.37,75.14,54.88,"2,847,500"
"Aug 15, 2011",73.17,74.08,72.68,74.08,54.1,"2,615,200"
"Aug 12, 2011",73.02,73.41,71.7,72.79,53.16,"3,012,700"
"Aug 11, 2011",70.6,73.39,70.31,72.61,53.03,"4,324,100"
"Aug 10, 2011",72.97,73.14,70.22,70.39,51.41,"4,918,600"
"Aug 9, 2011",71.62,74.66,70.71,74.66,54.53,"5,714,800"
"Aug 8, 2011",75.6,76.47,70.46,70.62,51.58,"8,417,500"
"Aug 5, 2011",77.45,77.53,74.78,76.74,56.05,"3,586,500"
"Aug 4, 2011",76.11,78.28,75.8,76.51,55.88,"5,799,000"
"Aug 3, 2011",75.93,77.3,75.11,77.08,56.3,"3,809,400"
"Aug 2, 2011",77.3,77.75,75.77,75.83,55.21,"3,445,100"
"Aug 1, 2011",79.32,79.35,77.06,77.71,56.58,"2,554,400"
"Jul 29, 2011",77.5,78.92,77.19,78.25,56.97,"2,434,000"
"Jul 28, 2011",78.39,79.32,78.25,78.33,57.03,"1,985,600"
"Jul 27, 2011",80.06,80.29,78.33,78.39,57.07,"2,309,200"
"Jul 26, 2011",80.96,81.57,80.42,80.55,58.64,"1,127,100"
"Jul 25, 2011",81.2,81.59,81.06,81.16,59.09,"1,174,200"
"Jul 22, 2011",81.67,81.83,81.15,81.67,59.46,"991,500"
"Jul 21, 2011",80.87,82.12,80.67,81.52,59.35,"1,729,600"
"Jul 20, 2011",80.82,80.88,79.85,80.69,58.75,"1,562,400"
"Jul 19, 2011",79.76,80.95,79.7,80.81,58.83,"1,839,400"
"Jul 18, 2011",79.53,79.81,78.81,79.11,57.6,"1,486,900"
"Jul 15, 2011",80.36,80.57,79.4,79.86,58.14,"2,212,200"
"Jul 14, 2011",80.87,81.47,80.13,80.33,58.48,"1,558,500"
"Jul 13, 2011",80.99,81.56,80.31,80.84,58.86,"1,448,500"
"Jul 12, 2011",80.89,81.76,80.65,80.71,58.76,"1,725,100"
"Jul 11, 2011",80.68,81.08,80.44,80.68,58.74,"1,590,300"
"Jul 8, 2011",81.59,82,80.91,81.41,59.27,"1,992,300"
"Jul 7, 2011",83.2,83.45,81.61,82.06,59.74,"3,197,400"
"Jul 6, 2011",81.37,82.94,81.37,82.64,60.17,"2,155,600"
"Jul 5, 2011",81.69,81.95,80.97,81.29,59.18,"1,860,800"
"Jul 1, 2011",81.5,81.7,81.04,81.54,59.36,"2,087,500"
"Jun 30, 2011",80.27,81.34,79.98,81.24,59.15,"2,410,500"
"Jun 29, 2011",80.2,80.68,79.88,80.03,58.27,"2,262,000"
"Jun 28, 2011",79.99,80.17,79.63,79.99,58.24,"1,786,600"
"Jun 27, 2011",78.95,80.06,78.92,79.85,58.13,"1,841,200"
"Jun 24, 2011",81.13,81.13,79.13,79.13,57.61,"2,462,600"
"Jun 23, 2011",79.75,80.59,79.32,80.4,58.53,"2,315,900"
"Jun 22, 2011",81.1,81.36,80.5,80.52,58.62,"1,545,700"
"Jun 21, 2011",81.39,81.44,80.54,81.39,59.26,"2,242,000"
"Jun 20, 2011",79.71,81.3,79.64,81.25,59.15,"2,178,600"
"Jun 17, 2011",79.98,80.66,79.23,79.63,57.97,"4,217,400"
"Jun 16, 2011",77.88,78.91,77.75,78.85,57.41,"2,191,800"
"Jun 15, 2011",78.55,78.96,77.74,77.93,56.74,"1,765,800"
"Jun 14, 2011",79.14,79.42,78.8,79.24,57.69,"1,746,900"
"Jun 13, 2011",78.18,79.02,78.05,78.45,57.12,"1,381,100"
"Jun 10, 2011",79.1,79.28,78.23,78.3,57.01,"2,121,900"
"Jun 9, 2011",79,79.7,78.64,79.03,57.54,"1,843,700"
"Jun 8, 2011",78.37,79.66,78.25,78.93,57.46,"2,517,700"
